id,name,pdf_url
95705029,لعنة الصليب الذهبي: شكُّ الأب براون (٢٩),https://www.hindawi.org/books/95705029.pdf
46486938,سبل ومناهج,https://www.hindawi.org/books/46486938.pdf
86937931,معجزة مون كريسينت: شكُّ الأب براون (٢٨),https://www.hindawi.org/books/86937931.pdf
49250841,ابن سينا,https://www.hindawi.org/books/49250841.pdf
81863920,وحي الكلب: شكُّ الأب براون (٢٧),https://www.hindawi.org/books/81863920.pdf
48279071,خلو البال,https://www.hindawi.org/books/48279071.pdf
64941742,سهم السماء: شكُّ الأب براون (٢٦),https://www.hindawi.org/books/64941742.pdf
48405282,بسائط الطيران,https://www.hindawi.org/books/48405282.pdf
29363803,قيامة الأب براون: شكُّ الأب براون (٢٥),https://www.hindawi.org/books/29363803.pdf
94053925,شعراء الوطنية,https://www.hindawi.org/books/94053925.pdf
37195261,درجات السلم التسع والثلاثون,https://www.hindawi.org/books/37195261.pdf
63071863,ذكريات لا مذكرات,https://www.hindawi.org/books/63071863.pdf
25208620,خريطة المعرفة: كيف فقد العالم أفكار العصر الكلاسيكي وكيف استعادها: تاريخ سبع مدن,https://www.hindawi.org/books/25208620.pdf
14858196,قصة طروادة,https://www.hindawi.org/books/14858196.pdf
40640607,أليس في بلاد الكَم: حكايةٌ خيالية في عالَم فيزياء الكَم,https://www.hindawi.org/books/40640607.pdf
90835903,آمال وأقدار,https://www.hindawi.org/books/90835903.pdf
50918028,قصة الأب براون الخيالية: حكمة الأب براون (٢٤),https://www.hindawi.org/books/50918028.pdf
68502850,ابن الإنسان: حياة نبي,https://www.hindawi.org/books/68502850.pdf
80390379,رَمْلٌ وزَبَدٌ,https://www.hindawi.org/books/80390379.pdf
31490462,جريمة جون بولنوي الغريبة: حكمة الأب براون (٢٣),https://www.hindawi.org/books/31490462.pdf
35927485,ديوان ابن سهل الأندلسي,https://www.hindawi.org/books/35927485.pdf
46069628,خلاصة تاريخ العراق: منذ نشوئه إلى يومنا هذا,https://www.hindawi.org/books/46069628.pdf
73052642,الدراسة الأدبية,https://www.hindawi.org/books/73052642.pdf
